label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1203_1	d19_1203_2	8	0.820119	0.933766	0.81604	0.808446	0.823635	0.417012	37169
0.03	d11_1203_2	d19_1203_2	13	0.794147	0.939772	0.812897	0.805205	0.82059	0.417717	32567
0.03	d11_1203_3	d19_1203_2	7	0.768844	0.927916	0.835232	0.828209	0.842255	0.435572	28855
0.03	d11_1203_4	d19_1203_2	8	0.806459	0.93137	0.818721	0.811183	0.826259	0.424491	34463
0.03	d11_1207_1	d19_1203_2	9	0.79487	0.927689	0.82805	0.820581	0.835518	0.436337	32555
0.03	d11_1207_2	d19_1203_2	12	0.801019	0.936055	0.831829	0.824826	0.838833	0.429584	33762
0.03	d11_1207_3	d19_1203_2	12	0.83483	0.934774	0.801295	0.793067	0.809523	0.418642	40770
0.03	d11_1207_4	d19_1203_2	9	0.809705	0.920812	0.814516	0.806574	0.822458	0.419135	35156
0.03	d11_1268_1	d19_1203_2	13	0.981347	0.940797	0.979907	0.977691	0.982123	0.635449	37206
0.03	d11_1268_2	d19_1203_2	18	0.984881	0.942001	0.979879	0.97766	0.982097	0.635266	47359
0.03	d11_1269_1	d19_1203_2	13	0.881149	0.930277	0.818579	0.811007	0.82615	0.401513	56794
0.03	d11_1269_2	d19_1203_2	15	0.855552	0.935046	0.827143	0.819767	0.834519	0.412327	46799
0.03	d11_1270_1	d19_1203_2	11	0.938956	0.94708	0.903471	0.897984	0.908957	0.500122	64413
0.03	d11_1270_2	d19_1203_2	8	0.902824	0.942519	0.906349	0.900951	0.911747	0.517148	30769
0.03	d11_1271_1	d19_1203_2	14	0.927335	0.945815	0.906405	0.901219	0.911592	0.523131	41065
0.03	d11_1271_2	d19_1203_2	15	0.931124	0.944834	0.914661	0.909973	0.919348	0.524049	44747
0.03	d19_1203_1	d19_1203_2	9	0.508143	0.94828	0.484161	0.468749	0.499573	0.238591	28122
0.03	d11_1203_1	d19_1203_3	9	0.56469	0.952258	0.66801	0.65888	0.67714	0.263227	44543
0.03	d11_1203_2	d19_1203_3	13	0.509727	0.955958	0.659692	0.650348	0.669035	0.254836	39941
0.03	d11_1203_3	d19_1203_3	13	0.490243	0.958198	0.693229	0.684279	0.70218	0.263339	36229
0.03	d11_1203_4	d19_1203_3	11	0.535818	0.954599	0.671314	0.662153	0.680474	0.269844	41837
0.03	d11_1207_1	d19_1203_3	12	0.53823	0.951013	0.68424	0.675054	0.693425	0.286127	39929
